rssi_dbm,snr_db,channel_width_mhz,band,quality
-55.03285846988767,20.273752075179328,80,0,Good
-61.38264301171185,23.988369304991377,40,1,Good
-53.52311461899308,19.45306055300027,20,0,Fair
-44.76970143591975,22.844269292526718,40,1,Good
-62.341533747233356,11.7446973313235,20,1,Fair
-62.3413695694918,26.49305595161057,20,1,Good
-44.20787184492609,25.00843832753557,40,2,Good
-52.32565270847091,19.280379582522666,80,2,Fair
-64.69474385934951,29.614719679026834,20,1,Good
-54.57439956414035,31.562990963385907,80,0,Excellent
-64.63417692812462,13.747080949417182,40,0,Fair
-64.65729753570257,19.6609265500365,20,2,Fair
-57.58037728433966,19.616003551488912,40,1,Fair
-79.13280244657798,18.420678292237948,80,0,Poor
-77.24917832513033,30.80632389352224,40,1,Poor
-65.62287529240973,23.643217028590374,40,0,Fair
-70.12831120334424,23.148396110825725,20,2,Fair
-56.857526674047264,10.972963449152726,40,1,Fair
-69.08024075521212,29.447926211464583,40,1,Fair
-74.12303701335291,16.32519123602569,40,0,Fair
-45.34351231078446,25.4195284118643,20,0,Good
-62.25776300486535,26.941638565707343,80,0,Good
-59.32471795312076,34.52461017087056,80,1,Good
-74.24748186213456,15.838257206166215,40,2,Fair
-65.44382724525182,3.8634149092542227,20,2,Poor
-58.89077410290134,26.286946813275865,40,0,Good
-71.50993577422302,37.60357827057597,80,2,Fair
-56.24301981654328,33.67262447057606,20,0,Good
-66.00638689918804,26.46761590692238,80,2,Fair
-62.916937497932764,21.55854670057567,80,1,Good
-66.01706612229397,30.649858176461173,20,0,Fair
-41.477218154910624,18.18517660206872,20,2,Fair
-60.13497224737934,28.334504385493535,40,1,Good
-70.577109289559,28.538291114166388,40,2,Fair
-51.77455087896811,32.42146935249216,80,1,Excellent
-72.20843649971022,44.317620272377546,20,1,Fair
-57.91136404995245,27.74691177025137,20,2,Good
-79.59670123879775,21.437254620047508,40,2,Poor
-73.28186048898431,24.820979814656038,80,1,Fair
-58.03138764130877,12.616468665776171,80,1,Fair
-52.61533420004589,20.137008082376592,40,1,Good
-58.2863171881003,22.135022933208273,20,0,Good
-61.156482823882406,21.331381214457853,40,1,Good
-63.01103695589289,26.066484104236054,40,0,Good
-74.78521990367427,19.243060473324597,40,1,Fair
-67.19844208394709,32.8472146712713,40,0,Fair
-64.60638770959787,25.00144945442738,20,1,Good
-49.42877773781084,24.934897752029617,40,1,Good
